CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
681,2,0,38,3,0.0,2,1,1,112491.96,0
773,2,0,25,2,135903.33,1,1,0,73656.38,0
714,2,1,31,4,125169.26,1,1,1,106636.89,0
627,2,0,33,5,0.0,2,1,1,103737.82,0
694,2,1,31,10,0.0,2,1,0,160990.27,0
616,1,1,36,6,132311.71,1,0,0,15462.84,0
687,2,0,35,8,0.0,2,1,0,10334.05,0
712,2,1,33,6,0.0,2,1,1,190686.16,0
553,2,0,33,4,118082.89,1,0,0,94440.45,0
667,2,0,31,1,119266.69,1,1,1,28257.63,0
629,0,0,35,7,156847.29,2,1,0,31824.29,0
438,0,0,31,8,78398.69,1,1,0,44937.01,0
729,0,0,30,6,63669.42,1,1,0,145111.37,0
642,2,0,38,3,0.0,2,0,0,171463.83,0
744,1,0,36,2,153804.44,1,1,1,87213.33,0
474,1,0,37,3,0.0,2,0,0,57175.32,0
706,1,0,42,9,0.0,2,1,1,28714.34,0
628,1,1,22,3,0.0,1,1,0,85426.28,0
429,2,0,24,4,95741.75,1,1,0,46170.75,0
680,2,1,30,8,141441.75,1,1,1,16278.97,0
763,2,1,31,4,0.0,2,0,0,50404.72,0
734,2,0,30,3,0.0,2,1,0,107640.25,0
716,2,0,35,4,144428.87,1,1,0,134132.65,0
594,2,0,35,2,0.0,2,1,0,103480.69,0
671,0,0,35,1,144848.74,1,1,1,179012.3,0
664,0,0,26,7,116244.14,2,1,1,95145.14,0
656,2,0,50,7,0.0,2,0,1,72143.44,0
667,1,1,40,1,146502.07,1,1,0,19162.89,0
663,0,0,44,2,117028.6,2,0,1,144680.18,0
626,1,1,37,6,108269.37,1,1,0,5597.94,0
659,0,1,32,3,150923.74,2,0,1,174652.51,0
649,2,0,33,2,0.0,2,1,0,2010.98,0
659,2,0,31,4,118342.26,1,0,0,161574.19,0
545,1,1,47,5,0.0,2,1,1,38970.14,0
543,2,0,22,8,0.0,2,0,0,127587.22,0
718,2,1,25,7,0.0,2,1,0,30380.12,0
840,2,1,43,7,0.0,2,1,0,90908.95,0
630,0,1,34,9,106937.05,2,1,0,138275.01,0
654,0,1,32,1,114510.85,1,1,1,126143.23,0
582,2,0,39,5,0.0,2,1,1,129892.93,0
659,1,0,32,3,107594.11,2,1,1,102416.84,0
762,1,0,39,2,81273.13,1,1,1,18719.67,0
568,1,1,32,7,169399.6,1,1,0,61936.22,0
670,1,0,25,6,0.0,2,1,1,78358.94,0
613,2,1,45,1,187841.99,2,1,1,147224.27,0
539,2,0,30,0,0.0,2,1,0,160979.66,0
737,2,0,41,1,101960.74,1,1,1,123547.28,0
706,1,0,28,3,0.0,2,0,1,181543.67,0
648,2,1,50,9,102535.57,1,1,1,189543.19,0
443,0,1,29,9,99027.61,2,1,0,10940.4,0
628,1,1,33,3,0.0,1,1,1,188193.25,0
540,0,1,42,9,87271.41,2,1,0,172572.64,0
460,0,1,35,8,102742.91,2,1,1,189339.6,0
636,0,0,34,2,40105.51,2,0,1,53512.16,0
593,2,1,29,2,152265.43,1,1,0,34004.44,0
801,1,0,42,4,141947.67,1,1,1,10598.29,0
611,0,0,31,0,107884.81,2,1,1,183487.98,0
802,0,0,31,1,125013.72,1,1,1,187658.09,0
717,0,0,35,7,58469.37,2,1,1,172459.39,0
769,2,1,39,8,0.0,1,0,1,21016.0,0
572,1,0,35,4,152390.26,1,1,0,128123.66,0
629,1,1,30,2,34013.63,1,1,0,19570.63,0
483,2,1,50,9,0.0,2,1,1,111020.24,0
690,2,0,36,7,101583.11,2,1,0,123775.15,0
492,0,1,30,10,77168.87,2,0,1,146700.22,0
709,0,0,28,8,124695.72,2,1,0,145251.35,0
705,0,0,44,3,105934.96,1,1,0,82463.69,0
611,1,0,46,6,0.0,2,1,0,45886.33,0
709,1,1,45,2,0.0,2,0,1,162922.65,0
544,2,1,21,10,161525.96,2,1,0,9262.77,0
712,0,1,29,7,147199.07,1,1,1,84932.4,0
752,0,0,38,3,183102.29,1,1,1,71557.12,0
594,1,1,24,0,97378.54,1,1,1,71405.17,0
645,0,1,37,2,136925.09,2,0,1,153400.24,0
557,2,0,33,3,54503.55,1,1,1,371.05,0
547,0,0,32,8,155726.85,1,1,0,67789.99,0
701,2,1,39,9,0.0,2,0,1,145894.9,0
605,2,0,52,1,63349.75,1,1,0,108887.44,0
593,0,1,38,4,129499.42,1,1,1,154071.27,0
751,1,0,52,8,0.0,2,0,1,179291.85,0
443,1,0,36,6,70438.01,2,0,1,56937.43,0
685,2,0,23,8,0.0,2,1,1,112239.03,0
718,2,0,36,9,0.0,1,1,0,45909.87,0
611,1,1,37,4,0.0,2,1,0,125696.26,0
668,0,0,37,10,152958.29,2,1,1,159585.61,0
537,0,1,41,3,138306.34,1,1,0,106761.47,0
709,1,0,23,10,0.0,2,0,0,129590.18,0
850,2,0,38,1,0.0,2,1,1,80006.65,0
745,1,1,31,3,124328.84,1,1,1,140451.52,0
795,1,0,35,8,0.0,2,1,0,167155.36,0
626,1,0,26,8,0.0,2,0,0,191420.71,0
556,2,1,39,9,89588.35,1,1,1,94898.1,0
643,2,1,46,6,0.0,2,0,0,106781.59,0
605,2,1,28,6,0.0,2,0,0,159508.52,0
586,2,1,38,2,0.0,2,1,0,87168.46,0
678,2,1,35,4,0.0,1,1,0,125518.32,0
596,2,0,39,9,0.0,1,1,0,48963.59,0
648,2,0,26,9,162923.85,1,1,0,98368.24,0
492,0,0,39,10,124576.65,2,1,0,148584.61,0
702,2,0,45,0,80793.58,1,1,1,27474.81,0
486,0,1,40,9,71340.09,1,1,0,76192.21,0
724,0,0,41,2,127892.57,2,0,1,199645.45,0
548,0,1,33,0,101084.36,1,1,0,42749.85,0
683,2,0,33,8,0.0,1,0,0,73564.44,0
762,2,1,51,3,99286.98,1,0,1,85578.63,0
627,0,1,30,4,79871.02,2,1,0,129826.89,0
516,2,0,35,10,104088.59,2,0,0,119666.0,0
800,2,1,38,2,168190.33,2,1,0,68052.08,0
464,0,1,42,3,85679.25,1,1,1,164104.74,0
626,2,1,35,3,0.0,1,0,0,80190.36,0
790,2,1,31,9,0.0,2,1,0,84126.75,0
534,2,1,34,7,121551.58,2,1,1,70179.0,0
745,2,0,46,2,122220.19,1,1,1,118024.1,0
748,2,1,26,1,77780.29,1,0,1,183049.41,0
722,2,0,37,2,0.0,1,0,0,120906.83,0
501,2,0,40,4,125832.2,1,1,1,100433.83,0
778,1,1,47,6,127299.34,2,1,0,124694.99,0
494,0,1,38,7,174937.64,1,1,0,40084.32,0
850,2,0,40,9,0.0,2,0,1,119232.33,0
592,1,0,31,7,110071.1,1,0,0,43921.36,0
590,1,1,44,3,139432.37,1,1,0,62222.81,0
758,2,1,39,6,127357.76,1,0,1,56577.0,0
506,2,0,36,5,0.0,2,1,0,164253.35,0
733,2,0,33,3,0.0,1,1,1,7666.73,0
711,2,0,38,3,0.0,2,1,0,68487.51,0
637,1,0,37,8,0.0,1,1,1,186062.36,0
468,0,0,29,1,111681.98,2,1,1,195711.16,0
539,2,0,39,3,0.0,2,1,0,36692.17,0
509,1,1,25,3,108738.71,2,1,0,106920.57,0
818,1,0,26,4,0.0,2,1,1,167036.94,0
608,2,0,33,9,89968.69,1,1,0,68777.26,0
850,1,1,32,9,0.0,2,1,1,18924.92,0
536,2,0,35,8,0.0,2,1,0,64833.28,0
753,2,0,35,3,0.0,2,1,1,184843.77,0
631,1,0,27,10,134169.62,1,1,1,176730.02,0
774,2,0,26,2,93844.69,1,1,0,28415.36,0
785,2,0,28,8,0.0,2,1,0,77231.27,0
571,2,1,33,1,0.0,2,1,0,102750.7,0
605,0,1,31,1,117992.59,1,1,1,183598.77,0
611,2,1,40,8,100812.33,2,1,0,147358.27,0
569,2,0,38,7,0.0,1,1,1,108469.2,0
658,2,0,29,4,80262.6,1,1,1,20612.82,0
788,1,0,34,6,156478.62,1,0,1,181196.76,0
525,2,1,23,5,0.0,2,1,0,160249.1,0
798,2,0,37,8,0.0,3,0,0,110783.28,0
486,0,0,37,9,115217.99,2,1,0,144995.33,0
730,2,1,35,0,155470.55,1,1,1,53718.28,0
641,2,0,37,7,0.0,2,1,0,75248.3,0
692,2,0,30,2,0.0,2,0,1,130486.57,0
591,1,0,29,1,97541.24,1,1,1,196356.17,0
710,2,1,41,2,156067.05,1,1,1,9983.88,0
639,2,1,38,4,81550.94,2,0,1,118974.77,0
765,0,0,36,8,92310.54,2,1,1,72924.56,0
622,2,1,32,6,169089.38,2,1,0,101057.95,0
806,2,0,40,5,80613.93,1,1,1,142838.64,0
757,0,0,26,8,121581.56,2,1,1,127059.04,0
555,1,0,32,4,0.0,2,1,1,54405.79,0
638,1,0,44,9,77637.35,2,1,1,111346.22,0
543,1,1,41,4,0.0,1,0,0,194902.16,0
584,2,0,31,5,0.0,2,1,0,31474.27,0
691,0,0,30,7,116927.89,1,1,0,21198.39,0
684,0,1,40,6,137326.65,1,1,0,186976.6,0
733,2,0,22,5,0.0,2,1,1,117202.19,0
599,1,1,37,2,0.0,2,1,1,143739.29,0
524,0,1,31,10,67238.98,2,1,1,161811.23,0
632,0,1,38,6,86569.76,2,1,0,98090.91,0
735,1,0,34,5,0.0,2,0,0,71095.41,0
734,2,0,34,6,133598.4,1,1,1,13107.24,0
793,1,0,38,9,0.0,2,1,0,88225.02,0
779,0,0,37,7,120092.52,2,1,0,135925.72,0
527,1,0,37,5,93722.73,2,1,1,139093.73,0
696,0,0,32,8,101160.99,1,1,1,115916.55,0
661,2,0,48,3,120320.54,1,0,0,96463.25,0
776,2,1,31,2,0.0,2,1,1,112349.51,0
701,2,0,43,2,0.0,2,1,1,165303.79,0
610,2,0,26,8,0.0,2,1,0,166031.08,0
673,2,0,30,1,64097.75,1,1,1,77783.35,0
702,1,1,26,4,135219.57,1,0,1,59747.63,0
729,2,0,32,6,93694.42,1,1,1,79919.13,0
543,1,0,35,10,59408.63,1,1,0,76773.53,0
550,2,1,40,7,114354.95,1,1,0,54018.93,0
639,0,0,35,10,128173.9,2,1,0,59093.39,0
686,1,0,34,9,0.0,2,1,0,127569.8,0
833,2,0,37,8,151226.18,2,1,1,136129.49,0
622,2,0,26,9,0.0,2,1,1,153237.59,0
597,2,1,42,4,64740.12,1,1,1,106841.12,0
842,1,1,44,2,112652.08,2,1,0,126644.98,0
587,2,0,38,0,0.0,2,1,0,47414.15,0
479,0,1,30,7,143964.36,2,1,0,41879.99,0
508,2,0,49,7,122451.46,2,1,1,75808.1,0
749,2,0,24,1,0.0,3,1,1,47911.03,0
721,0,1,36,3,65253.07,2,1,0,28737.78,0
685,1,1,25,10,128509.63,1,1,0,121562.33,0
417,2,0,34,7,0.0,2,1,0,55003.79,0
574,0,0,33,3,129834.67,1,1,0,193131.42,0
587,0,0,40,5,138241.9,2,1,0,159418.1,0
741,1,0,53,3,0.0,2,1,1,38913.68,0
584,0,1,29,7,105204.01,1,0,1,138490.03,0
607,1,0,36,8,158261.68,1,1,1,76744.72,0
689,1,1,38,6,121021.05,1,1,1,12182.15,0
543,2,0,36,4,0.0,2,1,1,141210.5,0
737,0,0,31,5,121192.22,2,1,1,74890.58,0
761,2,0,31,7,0.0,3,1,1,166698.18,0
601,2,0,44,1,100486.18,2,1,1,62678.53,0
745,2,0,35,9,92566.53,2,1,0,161519.77,0
848,1,0,40,3,110929.96,1,1,1,30876.84,0
546,2,1,27,8,0.0,2,1,1,14858.1,0
439,1,1,32,3,138901.61,1,1,0,75685.97,0
755,2,0,30,4,123217.66,2,0,1,144183.1,0
593,2,1,41,6,0.0,1,1,0,65170.66,0
701,2,0,39,2,0.0,2,1,1,82526.92,0
701,1,0,36,8,0.0,2,1,0,169161.46,0
547,0,1,30,9,72392.41,1,1,0,77077.14,0
725,2,0,44,5,0.0,1,1,1,117356.14,0
526,2,0,36,1,0.0,1,1,0,160696.72,0
700,2,0,38,8,134811.3,1,1,0,1299.75,0
666,2,1,34,9,115897.12,1,1,1,25095.03,0
630,1,0,32,4,82034.0,1,0,0,146326.45,0
779,1,1,26,4,174318.13,2,0,1,38296.21,0
611,0,1,41,2,114206.84,1,1,0,164061.6,0
685,1,0,43,9,0.0,2,1,0,107811.28,0
646,0,0,39,9,111574.41,1,1,1,30838.51,0
484,0,1,34,4,148249.54,1,0,1,33738.27,0
762,1,1,26,7,123709.46,2,1,1,169654.57,0
702,2,0,37,10,150525.8,1,1,1,94728.49,0
601,2,0,29,9,0.0,1,1,1,80393.27,0
699,2,0,53,4,0.0,2,0,1,111307.98,0
584,2,0,28,10,0.0,2,1,0,19834.32,0
699,2,0,35,5,0.0,2,1,1,78397.24,0
698,0,1,51,2,111018.98,1,1,0,86410.28,0
495,2,0,30,10,129755.99,1,0,0,172749.65,0
650,2,1,27,6,0.0,2,1,0,1002.39,0
667,1,0,38,1,87202.38,1,1,1,77866.91,0
688,0,0,26,8,146133.39,1,1,1,175296.76,0
754,1,0,39,6,170184.99,2,1,0,89593.26,0
546,1,0,42,7,139070.51,1,1,1,86945.0,0
673,1,1,37,8,0.0,2,1,1,183318.79,0
593,2,0,35,9,114193.24,1,1,0,71154.1,0
656,1,1,40,10,167878.5,1,0,1,151887.16,0
535,0,1,53,5,141616.55,2,1,1,75888.65,0
678,0,0,36,3,145747.67,2,0,1,89566.74,0
477,1,1,48,2,129120.64,1,0,1,26475.79,0
850,1,0,35,7,110349.82,1,0,0,126355.8,0
427,2,0,29,1,141325.56,1,1,1,93839.3,0
752,2,0,49,2,78653.84,1,1,0,7698.6,0
649,2,0,47,1,0.0,2,1,1,145593.85,0
799,1,1,28,3,142253.65,1,1,0,45042.56,0
839,1,1,33,10,75592.43,1,1,0,62674.42,0
540,0,0,44,3,164113.04,2,1,1,12120.79,0
696,1,1,51,5,0.0,2,1,0,55022.43,0
660,1,1,33,1,0.0,2,0,0,117834.91,0
682,2,0,48,1,138778.15,1,0,1,168840.23,0
744,2,1,43,10,147832.15,1,0,1,24234.11,0
785,2,1,36,4,135438.4,1,0,0,190627.01,0
706,2,1,29,5,112564.62,1,1,0,42334.38,0
583,2,1,27,1,125406.58,1,1,1,110784.42,0
752,2,1,30,3,0.0,2,1,1,104991.28,0
578,2,0,38,7,82259.29,1,1,0,8996.97,0
438,2,1,36,4,0.0,2,1,0,64420.5,0
652,2,0,38,6,0.0,2,1,1,145700.22,0
629,2,1,49,4,0.0,2,1,1,196335.48,0
720,2,0,52,7,0.0,1,1,1,14781.12,0
668,2,0,42,3,150461.07,1,1,0,108139.23,0
729,1,0,31,8,164870.81,2,1,1,9567.39,0
498,0,0,25,8,121702.73,1,1,1,132210.49,0
549,1,0,25,6,193858.2,1,0,1,21600.11,0
751,2,1,30,6,0.0,2,1,0,15766.1,0
632,0,1,41,3,81877.38,1,1,1,33642.21,0
678,2,0,31,2,0.0,2,1,1,58803.28,0
695,2,0,46,4,0.0,2,1,1,137537.22,0
661,2,1,41,1,0.0,2,0,1,131300.68,0
661,2,0,33,9,0.0,2,1,1,84174.81,0
559,2,1,31,3,127070.73,1,0,1,160941.78,0
503,2,0,29,3,0.0,2,1,1,143954.99,0
695,1,0,46,3,122549.64,1,1,1,56297.85,0
640,2,1,42,5,176099.13,1,1,1,8404.73,0
624,0,1,48,3,122388.38,2,0,0,30020.09,0
667,2,0,42,9,0.0,2,0,1,58137.42,0
642,2,0,26,0,0.0,1,0,0,47472.68,0
640,1,1,32,6,118879.35,2,1,1,19131.71,0
529,1,0,35,5,0.0,2,1,1,187288.5,0
563,2,1,39,5,0.0,2,1,1,17603.81,0
593,1,1,38,4,88736.44,2,1,0,67020.03,0
