Text,Income,Credit_Score,Rating,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I want to consolidate my credit card debts into one manageable payment.,49327,377,Poor,36755,29.94,1,0
I need a loan to pay for my son's medical treatment and therapy.,172701,451,Poor,34409,19.2,1,0
I need a loan to cover hospital bills after an unexpected surgery.,115591,340,Poor,28535,24.61,1,0
I want to make home improvements like installing solar panels.,112714,716,Good,21257,40.52,1,1
I need a loan to buy a motorcycle for daily transportation.,66413,722,Good,12754,9.97,0,0
I need money to invest in a franchise business opportunity.,195612,554,Poor,42732,11.49,1,1
I want to purchase land to start an organic farming venture.,100003,533,Poor,4101,19.61,1,0
I need a loan to pay for legal fees related to my business license.,106051,585,Fair,37585,9.0,0,0
I need money to publish and market my self-written book.,124773,849,Excellent,4617,21.4,1,1
I need a loan to cover moving expenses after being transferred to another city.,66810,571,Poor,8104,11.24,0,0
I want to purchase land to start an organic farming venture.,102228,746,Very Good,68033,43.75,1,0
I need funds to pay for my pilot training program.,171149,494,Poor,12635,12.67,0,0
I need a loan to start a small business.,156293,501,Poor,57531,18.47,1,0
I need money to buy new tools and materials for my woodworking business.,183356,621,Fair,33669,26.44,0,0
I want to start a local transportation service and need funds for a van.,101077,718,Good,53743,26.09,0,0
I need money to purchase a food truck and start my own business.,126450,300,Poor,38606,19.7,1,0
I need financial assistance to launch my own YouTube content creation business.,172039,629,Fair,116811,20.62,0,0
I need a loan to repair my car after an accident.,154001,784,Very Good,87356,10.47,1,1
I need a loan to pay for a digital marketing course to grow my business.,155122,643,Fair,108272,7.17,1,0
I need a loan to cover hospital bills after an unexpected surgery.,78888,503,Poor,2600,18.58,1,0
I need money to pay for a vocational training course in plumbing.,144554,374,Poor,55321,24.11,1,0
I need funds to pay for my pilot training program.,149598,709,Good,20342,14.03,1,1
I want to make home improvements like installing solar panels.,131449,524,Poor,92214,12.57,0,0
"I need financial help to cover wedding expenses, including the venue and catering.",166120,555,Poor,120658,7.8,1,0
I want to start a small roadside food stall and need funds for equipment.,195001,843,Excellent,84177,21.35,0,0
I want to start a local transportation service and need funds for a van.,131867,756,Very Good,98472,11.7,0,0
I need money to invest in stock trading and portfolio building.,87945,553,Poor,37347,53.2,0,0
I need a loan to finance my MBA and career advancement.,91984,750,Very Good,38450,10.96,1,1
I need money to start a home-based catering business.,108040,627,Fair,11561,37.39,1,1
I need financial help to pay off my high-interest payday loans.,80623,692,Good,47295,18.62,1,1
I want to expand my small online clothing store.,128755,717,Good,72121,20.72,0,0
I need money to open a small bookstore and café.,145037,306,Poor,40139,19.34,0,0
I want to buy a car for my rideshare business on Uber.,161091,525,Poor,29760,22.97,0,0
I need financial assistance to launch my own YouTube content creation business.,147308,329,Poor,45057,20.69,0,0
I need funds to stock inventory for my new retail store.,142523,430,Poor,71008,32.12,1,0
I need financial support to open a daycare center in my neighborhood.,175161,327,Poor,113358,6.0,1,0
I want to start a small roadside food stall and need funds for equipment.,67639,351,Poor,25844,32.6,0,0
I need a loan to repair my car after an accident.,139196,634,Fair,100775,19.48,0,0
I need funds to upgrade my computer and buy software for freelance work.,130510,558,Poor,62644,7.94,1,1
I need money to launch my own tech startup focused on AI solutions.,33653,658,Fair,22303,58.52,1,0
I want to start a small roadside food stall and need funds for equipment.,87172,677,Good,16012,18.35,1,1
I need a loan to cover hospital bills after an unexpected surgery.,48337,326,Poor,25596,52.64,0,0
I need funds to buy new furniture and appliances for my house.,39922,548,Poor,23845,29.25,0,0
I need financial assistance to buy farm equipment for my agricultural business.,168355,342,Poor,113296,16.49,0,0
I want to expand my small online clothing store.,152634,649,Fair,112355,3.82,0,0
I need a loan to buy a truck and start a moving business.,47666,743,Very Good,31129,60.29,1,0
I want to start a small roadside food stall and need funds for equipment.,134183,574,Poor,33177,19.47,1,1
I need funds to upgrade my computer and buy software for freelance work.,138175,549,Poor,75691,25.66,0,0
I need a loan to repair my car after an accident.,113015,564,Poor,37655,24.16,0,0
I want to consolidate my credit card debts into one manageable payment.,155430,495,Poor,32635,6.83,0,0
I need a loan to buy a truck and start a moving business.,165536,546,Poor,129665,21.87,0,0
I need money to cover unexpected medical expenses from surgery.,44393,601,Fair,27502,43.98,1,0
I need funds to expand my home-based bakery to a physical store.,164281,638,Fair,93124,17.08,0,0
I need money to start a home-based catering business.,100379,557,Poor,16814,20.03,1,1
I need funds to launch my handmade jewelry brand online.,51340,848,Excellent,13552,33.37,1,1
I need a loan to build a website and market my freelance services.,92482,837,Excellent,38093,47.7,1,1
I need a loan to install a security system at home.,97659,532,Poor,24519,29.34,0,0
I want to consolidate my credit card debts into one manageable payment.,160020,429,Poor,6965,14.36,1,0
I need financial support to renovate my rental apartment.,53103,802,Excellent,1803,22.08,0,0
I need money to purchase specialized tools for my auto repair shop.,145492,751,Very Good,25164,18.78,1,1
I need financial help to build my dream home in the countryside.,145233,416,Poor,53521,6.39,0,0
I need money to purchase updated equipment for my photography business.,171262,354,Poor,40111,8.73,0,0
I need a loan to cover emergency expenses after a natural disaster.,85061,421,Poor,55548,48.87,1,0
I need a loan to upgrade my small music studio with better equipment.,119713,761,Very Good,39974,28.41,0,0
I need a loan to cover hospital bills after an unexpected surgery.,169062,361,Poor,27013,26.59,1,0
I need a loan to repair my car after an accident.,89375,383,Poor,32439,17.11,1,0
I need money to purchase updated equipment for my photography business.,61034,302,Poor,30524,52.06,0,0
I need money to purchase updated equipment for my photography business.,81190,570,Poor,39652,56.61,1,0
I need a loan to develop and launch my mobile app startup.,38719,361,Poor,26972,41.0,0,0
I need a loan to pay for a digital marketing course to grow my business.,135121,427,Poor,91266,26.43,0,0
I need a loan to pay for legal fees related to my business license.,91367,812,Excellent,65722,44.2,0,0
I need a loan to cover emergency expenses after a natural disaster.,176771,340,Poor,85494,18.85,0,0
I need a loan to buy a reliable used car for work commuting.,65925,781,Very Good,43697,59.17,0,0
I need money to purchase specialized tools for my auto repair shop.,111215,718,Good,43081,24.14,1,1
I need a loan to buy a motorcycle for daily transportation.,106456,721,Good,38777,35.2,0,0
I need funds to pay for my daughter's college tuition.,139229,390,Poor,34082,18.4,0,0
I need a loan to pay for an international vacation with my family.,125952,826,Excellent,87200,4.03,0,0
I need a loan to pay for a digital marketing course to grow my business.,134849,796,Very Good,4783,9.61,1,1
I need a loan to buy a motorcycle for daily transportation.,101461,314,Poor,54476,40.6,1,0
I need a loan to pay off overdue electricity and water bills.,49743,772,Very Good,11090,25.53,0,0
I need financial support to renovate my rental apartment.,153397,579,Poor,110408,21.01,0,0
I need money to purchase specialized tools for my auto repair shop.,83892,767,Very Good,19958,49.02,0,0
I need a loan to install a security system at home.,177123,820,Excellent,19300,7.87,0,0
I want to buy a car for my rideshare business on Uber.,109096,819,Excellent,1336,20.63,0,0
I need money to purchase a food truck and start my own business.,173862,801,Excellent,118059,8.48,0,0
I want to purchase land to start an organic farming venture.,107147,686,Good,43176,32.52,1,1
I need a loan to finance my MBA and career advancement.,169893,692,Good,108682,11.95,1,0
I need funds to launch my handmade jewelry brand online.,143987,690,Good,87991,21.04,1,0
I need money to refinance my home loan at a lower interest rate.,135423,402,Poor,60890,29.14,1,0
I need a loan to develop and launch my mobile app startup.,127473,458,Poor,62537,7.77,0,0
I need a loan to support my side business selling handmade candles.,183383,707,Good,22054,25.95,0,0
I need financial help to install a swimming pool in my backyard.,119617,624,Fair,95203,38.52,0,0
I want to invest in a rental property as a source of passive income.,43692,744,Very Good,7586,26.21,0,0
I need funds to stock inventory for my new retail store.,98503,329,Poor,43516,8.14,1,0
I need financial support to renovate my rental apartment.,113969,683,Good,20080,29.15,1,1
I want to start a mobile pet grooming service and need funds for supplies.,128016,484,Poor,23946,12.61,1,0
I need money to open a small bookstore and café.,182453,546,Poor,38517,20.62,1,0
I want to start a small roadside food stall and need funds for equipment.,187222,560,Poor,67932,18.76,1,1
I want to start a small roadside food stall and need funds for equipment.,95400,461,Poor,58898,10.31,0,0
I need money to purchase a food truck and start my own business.,187493,734,Good,120756,11.41,0,0
I need funds to buy new furniture and appliances for my house.,120845,794,Very Good,32091,9.92,0,0
I need financial help to cover maternity and delivery expenses.,170683,602,Fair,6751,14.27,0,0
I want to invest in a rental property as a source of passive income.,179138,660,Fair,50841,10.8,0,0
I need money to cover unexpected legal expenses related to a dispute.,184691,399,Poor,11334,24.97,0,0
I need a loan to pay for a down payment on my first home.,28746,673,Good,3953,47.35,0,0
I want to pay off my payday loans and switch to a lower-interest option.,128921,479,Poor,18322,14.09,0,0
I want to start a mobile pet grooming service and need funds for supplies.,151542,579,Poor,34681,10.41,0,0
I need financial support to renovate my rental apartment.,108792,417,Poor,10869,32.81,1,0
I need a loan to pay off overdue electricity and water bills.,197294,706,Good,96885,21.05,1,1
I need a loan to pay for my son's medical treatment and therapy.,196377,568,Poor,100883,22.05,0,0
I want to make home improvements like installing solar panels.,196904,539,Poor,7560,18.23,0,0
I need a loan to pay off overdue electricity and water bills.,189778,364,Poor,122704,24.58,0,0
I need money to invest in a franchise business opportunity.,50585,443,Poor,3438,15.76,0,0
I need financial support to pay for my son's football training program.,50440,399,Poor,36228,40.42,1,0
I need funds to pay for my pilot training program.,138919,679,Good,98404,35.23,0,0
I need financial help to pay off my high-interest payday loans.,128759,401,Poor,81694,28.79,0,0
I need a loan to finance my MBA and career advancement.,115075,401,Poor,49147,43.39,0,0
I need a loan to relocate to a new city after getting a job offer.,124369,582,Fair,17011,14.02,0,0
I need funds to enroll in a professional certification program.,193740,517,Poor,6598,24.29,1,0
I need money to buy new tools and materials for my woodworking business.,83850,428,Poor,27896,50.09,1,0
I need money to cover funeral expenses for a loved one.,173716,521,Poor,87129,11.67,1,0
I need a loan to start a small business.,92685,448,Poor,71807,14.59,0,0
I need money to cover adoption fees and related expenses.,48816,326,Poor,1973,27.94,0,0
I need a loan to finance my MBA and career advancement.,174364,631,Fair,46677,3.46,0,0
I need money to purchase specialized tools for my auto repair shop.,137512,670,Good,78812,28.1,1,1
I need money to invest in stock trading and portfolio building.,152078,526,Poor,6683,29.79,0,0
I need financial help to cover unexpected veterinary bills for my pet.,188647,331,Poor,126562,4.76,0,0
I need funds to expand my home-based bakery to a physical store.,199856,410,Poor,117277,18.58,1,0
I need a loan to cover emergency expenses after a natural disaster.,104439,451,Poor,17540,8.91,0,0
I want to pay off my payday loans and switch to a lower-interest option.,119851,843,Excellent,60469,20.3,0,0
I need money to invest in a franchise business opportunity.,108848,764,Very Good,55524,28.6,1,1
I need funds to launch my handmade jewelry brand online.,131873,620,Fair,34408,36.84,0,0
I need financial help to pay off my high-interest payday loans.,144326,368,Poor,110022,7.61,1,0
I need funds to enroll in a professional certification program.,133213,398,Poor,18054,22.09,1,0
I need money to buy new tools and materials for my woodworking business.,195639,425,Poor,93693,16.32,0,0
"I need financial help to cover wedding expenses, including the venue and catering.",95400,619,Fair,14579,29.4,1,1
I need financial help to pay off my high-interest payday loans.,192159,793,Very Good,29368,10.25,0,0
"I need a loan for home renovation, including a kitchen remodel.",179644,573,Poor,48294,3.84,0,0
I need a loan to cover hospital bills after an unexpected surgery.,109082,659,Fair,24777,4.95,1,1
I want to start a mobile pet grooming service and need funds for supplies.,76395,685,Good,30730,42.56,0,0
I need a loan to buy a motorcycle for daily transportation.,117007,619,Fair,75395,22.44,1,0
I need money to start a home-based catering business.,136159,734,Good,80570,27.05,0,0
I want to buy a car for my rideshare business on Uber.,91609,520,Poor,15918,42.11,0,0
I need a loan to buy a reliable used car for work commuting.,77807,704,Good,4590,56.91,1,0
I need money to cover funeral expenses for a loved one.,99015,516,Poor,34491,14.13,0,0
I want to invest in livestock to start a small dairy farm.,119669,845,Excellent,66570,16.78,0,0
I need money to purchase updated equipment for my photography business.,124089,343,Poor,3456,27.07,0,0
I need money to purchase updated equipment for my photography business.,102066,739,Good,54008,41.72,0,0
I need financial support to renovate my rental apartment.,50192,714,Good,22284,12.68,1,1
I need financial help to cover unexpected veterinary bills for my pet.,114857,390,Poor,14875,29.27,1,0
I need financial assistance to launch my own YouTube content creation business.,174369,710,Good,21616,22.56,0,0
I need a loan to cover hospital bills after an unexpected surgery.,109001,526,Poor,23037,24.61,1,0
I need money to publish and market my self-written book.,185996,416,Poor,134680,21.38,1,0
I want to purchase land to start an organic farming venture.,112038,451,Poor,14474,18.28,1,0
I need financial help to build my dream home in the countryside.,71713,477,Poor,11018,62.02,1,0
I need money to cover adoption fees and related expenses.,184613,805,Excellent,118677,19.18,0,0
I need funds to launch my handmade jewelry brand online.,59572,750,Very Good,31731,15.91,0,0
I need money to purchase a food truck and start my own business.,92004,357,Poor,67497,30.5,1,0
I need a loan to cover hospital bills after an unexpected surgery.,141043,762,Very Good,8456,5.29,0,0
I want to start a small roadside food stall and need funds for equipment.,172129,342,Poor,50345,20.03,0,0
I need money to purchase specialized tools for my auto repair shop.,151430,454,Poor,60050,5.98,1,0
I need money to pay for a vocational training course in plumbing.,134755,749,Very Good,69517,29.2,1,1
I need a loan to pay for a much-needed vacation after years of saving.,117740,589,Fair,54578,25.81,0,0
"I need financial help to cover wedding expenses, including the venue and catering.",185383,642,Fair,87426,5.03,1,1
I need funds to pay for my pilot training program.,94487,558,Poor,20709,50.83,0,0
I need a loan to cover emergency expenses after a natural disaster.,172761,444,Poor,82325,16.16,0,0
I want to invest in livestock to start a small dairy farm.,175986,386,Poor,99744,14.37,0,0
I want to invest in livestock to start a small dairy farm.,195666,839,Excellent,111993,5.69,0,0
I need money to cover unexpected medical expenses from surgery.,115052,616,Fair,29074,14.61,0,0
I need a loan to buy a truck and start a moving business.,70333,531,Poor,11154,19.93,1,0
I need a loan to support my side business selling handmade candles.,182013,434,Poor,99754,24.25,1,0
I need a loan to buy a motorcycle for daily transportation.,67407,469,Poor,3863,49.97,0,0
I need a loan to pay for a much-needed vacation after years of saving.,197304,543,Poor,75692,17.29,0,0
I want to invest in a rental property as a source of passive income.,159987,544,Poor,127562,15.8,0,0
I need a loan to install a security system at home.,116427,751,Very Good,37932,30.28,0,0
I want to start a local transportation service and need funds for a van.,158270,728,Good,108071,9.87,1,0
I need money to cover unexpected legal expenses related to a dispute.,85536,353,Poor,63991,54.97,0,0
I want to make home improvements like installing solar panels.,155242,427,Poor,11993,15.25,1,0
I need money to start a home-based catering business.,137786,825,Excellent,109926,10.64,0,0
I need funds to enroll in a professional certification program.,78205,761,Very Good,61979,35.69,1,0
I need funds to pay for my pilot training program.,41392,683,Good,1923,47.63,0,0
I need money to refinance my home loan at a lower interest rate.,190383,643,Fair,37070,7.65,1,1
I need a loan to pay for a digital marketing course to grow my business.,143851,442,Poor,59799,24.85,1,0
I need a loan to pay for an international vacation with my family.,95524,543,Poor,16970,25.9,1,0
I need a loan to finance my MBA and career advancement.,130054,768,Very Good,15530,7.01,0,0
I need financial support to renovate my rental apartment.,132522,301,Poor,47244,34.18,1,0
I want to buy a car for my rideshare business on Uber.,69103,387,Poor,24632,56.88,1,0
I want to start a mobile pet grooming service and need funds for supplies.,162627,819,Excellent,73633,23.53,1,1
I need funds to pay for my pilot training program.,143243,344,Poor,51709,32.57,0,0
I need financial help to build my dream home in the countryside.,24257,665,Fair,12298,38.86,1,1
I want to make home improvements like installing solar panels.,172542,640,Fair,12622,7.97,0,0
I need money to launch my own tech startup focused on AI solutions.,108748,479,Poor,61899,45.86,0,0
I need financial support for medical treatment abroad.,55350,364,Poor,3423,63.22,0,0
I need funds to buy new furniture and appliances for my house.,31483,504,Poor,11341,24.6,0,0
I need money to publish and market my self-written book.,124392,784,Very Good,5799,17.37,1,1
I need a loan to pay for a digital marketing course to grow my business.,113578,348,Poor,44506,42.24,0,0
I need financial assistance to buy farm equipment for my agricultural business.,116474,747,Very Good,58637,26.8,0,0
I need a loan to support my side business selling handmade candles.,68973,808,Excellent,25074,54.52,0,0
I need a loan to cover emergency expenses after a natural disaster.,131280,380,Poor,79964,25.3,1,0
I need money to launch my own tech startup focused on AI solutions.,97009,628,Fair,11494,12.08,0,0
I need financial support to renovate my rental apartment.,100346,756,Very Good,56851,44.34,1,1
I need a loan to pay for a down payment on my first home.,112155,757,Very Good,47210,6.93,0,0
I need funds to upgrade my computer and buy software for freelance work.,187633,358,Poor,107485,5.29,0,0
I need money to publish and market my self-written book.,198103,463,Poor,38428,3.55,0,0
I need funds to pay for my daughter's college tuition.,53090,368,Poor,25007,38.55,0,0
I need funds to pay for my pilot training program.,168699,333,Poor,41222,26.47,0,0
I need a loan to pay for my son's medical treatment and therapy.,117521,754,Very Good,76225,8.54,1,0
I want to start a mobile pet grooming service and need funds for supplies.,116193,707,Good,86139,22.03,0,0
I need money to pay for a vocational training course in plumbing.,49739,326,Poor,33705,34.56,0,0
I need financial assistance to buy farm equipment for my agricultural business.,88623,566,Poor,29124,38.64,0,0
I need a loan to buy a truck and start a moving business.,72475,425,Poor,56890,19.17,1,0
I need money to invest in stock trading and portfolio building.,65260,755,Very Good,45690,16.48,0,0
I need money to cover adoption fees and related expenses.,114763,820,Excellent,16907,17.16,1,1
I need money to cover unexpected legal expenses related to a dispute.,82058,805,Excellent,24651,8.19,0,0
I want to start a small roadside food stall and need funds for equipment.,164610,432,Poor,116899,27.4,1,0
I want to expand my small online clothing store.,101078,707,Good,69903,35.98,0,0
I need money to invest in a franchise business opportunity.,170706,375,Poor,84106,7.74,1,0
I need money to invest in stock trading and portfolio building.,142115,829,Excellent,17821,19.41,1,1
I want to invest in livestock to start a small dairy farm.,133408,814,Excellent,17274,6.47,1,1
I need money to purchase a food truck and start my own business.,63163,465,Poor,47486,41.39,1,0
I want to purchase land to start an organic farming venture.,156025,590,Fair,33847,6.52,1,1
I want to start a local transportation service and need funds for a van.,188031,472,Poor,41421,23.29,1,0
I need a loan to support my side business selling handmade candles.,167749,342,Poor,22292,4.09,1,0
I need a loan to cover moving expenses after being transferred to another city.,190689,515,Poor,110205,22.28,1,0
I need financial support to pay for my son's football training program.,184407,596,Fair,80192,25.52,0,0
I need money to pay for a vocational training course in plumbing.,199566,715,Good,119893,12.27,1,0
I need a loan to relocate to a new city after getting a job offer.,61439,750,Very Good,32735,52.47,0,0
I need money to cover funeral expenses for a loved one.,109179,447,Poor,42853,23.34,0,0
I need funds to launch my handmade jewelry brand online.,83370,777,Very Good,36058,15.63,0,0
I need money to pay for a vocational training course in plumbing.,56930,399,Poor,20019,14.61,0,0
I want to buy a car for my rideshare business on Uber.,85082,463,Poor,41988,31.1,1,0
I need a loan to buy a motorcycle for daily transportation.,150617,827,Excellent,66373,23.63,0,0
I need a loan to finance my MBA and career advancement.,76398,661,Fair,4312,10.72,0,0
I need financial support to pay for my son's football training program.,176635,781,Very Good,3143,13.43,1,1
I need financial assistance to launch my own YouTube content creation business.,55110,570,Poor,27427,52.57,0,0
I need a loan to buy a reliable used car for work commuting.,125010,352,Poor,74638,33.9,1,0
I need a loan to pay for a much-needed vacation after years of saving.,165024,595,Fair,51639,5.95,0,0
I need funds to upgrade my computer and buy software for freelance work.,183379,421,Poor,26344,7.32,0,0
I need a loan to pay for my son's medical treatment and therapy.,108889,674,Good,27090,13.27,0,0
I want to start a local transportation service and need funds for a van.,30552,346,Poor,5490,24.71,0,0
I need money to purchase specialized tools for my auto repair shop.,156139,767,Very Good,80463,9.45,1,1
I want to pay off my payday loans and switch to a lower-interest option.,180712,626,Fair,104010,8.66,0,0
I need a loan to support my side business selling handmade candles.,152989,821,Excellent,65205,26.07,0,0
I need a loan to cover hospital bills after an unexpected surgery.,184956,327,Poor,125410,23.85,0,0
I want to invest in a rental property as a source of passive income.,33462,791,Very Good,18178,48.34,0,0
I need money to invest in a franchise business opportunity.,73448,720,Good,51788,51.58,0,0
I need a loan to relocate to a new city after getting a job offer.,56197,831,Excellent,37758,33.08,0,0
I need a loan to build a website and market my freelance services.,157750,685,Good,23699,16.2,0,0
I need financial help to install a swimming pool in my backyard.,109738,662,Fair,85319,44.92,0,0
I need a loan to build a website and market my freelance services.,70400,552,Poor,37574,33.07,0,0
I need a loan to pay off overdue electricity and water bills.,98017,595,Fair,65094,18.96,0,0
I need a loan to build a website and market my freelance services.,111436,580,Fair,16974,21.41,0,0
I need financial support to open a daycare center in my neighborhood.,110474,449,Poor,6513,21.76,0,0
I need a loan to cover emergency expenses after a natural disaster.,110797,752,Very Good,34612,43.31,0,0
I need a loan to repair my car after an accident.,72970,577,Poor,46624,57.33,0,0
I need money to cover unexpected legal expenses related to a dispute.,48633,545,Poor,4326,42.95,1,0
I need money to invest in a franchise business opportunity.,191151,787,Very Good,53286,18.98,0,0
I want to pay off my payday loans and switch to a lower-interest option.,94819,360,Poor,31437,11.46,1,0
I need money to cover adoption fees and related expenses.,129546,480,Poor,53034,5.7,0,0
I need financial support for medical treatment abroad.,95882,338,Poor,40110,5.85,1,0
I need money to buy new tools and materials for my woodworking business.,94596,765,Very Good,72211,49.72,0,0
I need money to cover unexpected legal expenses related to a dispute.,152176,779,Very Good,26272,15.04,1,1
I want to consolidate my credit card debts into one manageable payment.,108371,602,Fair,26318,38.95,1,1
I need a loan to pay for legal fees related to my business license.,132119,827,Excellent,12368,20.05,0,0
I need money to refinance my home loan at a lower interest rate.,68439,443,Poor,22207,53.03,1,0
I need a loan to start a small business.,88363,692,Good,59554,23.13,0,0
I need money to buy new tools and materials for my woodworking business.,99153,311,Poor,48127,22.33,1,0
I need a loan to relocate to a new city after getting a job offer.,195056,421,Poor,81427,18.2,1,0
I need a loan to pay for legal fees related to my business license.,199850,814,Excellent,31779,12.7,0,0
I need a loan to pay for my son's medical treatment and therapy.,181120,526,Poor,36014,10.69,0,0
I need financial help to pay off my high-interest payday loans.,139269,682,Good,93004,23.16,0,0
I need financial help to install a swimming pool in my backyard.,194088,523,Poor,22461,10.93,0,0
I want to start a mobile pet grooming service and need funds for supplies.,114839,379,Poor,15707,36.55,1,0
I want to start a local transportation service and need funds for a van.,72994,849,Excellent,11783,20.3,0,0
I need a loan to upgrade my small music studio with better equipment.,135825,419,Poor,27922,36.51,0,0
I need funds to enroll in a professional certification program.,153791,756,Very Good,60432,5.62,1,1
I need money to publish and market my self-written book.,128901,767,Very Good,8567,32.55,0,0
I need a loan to pay for my son's medical treatment and therapy.,120264,759,Very Good,50236,24.73,1,1
I need money to launch my own tech startup focused on AI solutions.,54862,656,Fair,12696,23.28,0,0
I want to start a mobile pet grooming service and need funds for supplies.,53383,528,Poor,2489,9.79,0,0
I want to start a small roadside food stall and need funds for equipment.,196553,734,Good,100425,20.28,1,1
I need money to pay for a vocational training course in plumbing.,140750,654,Fair,37129,10.78,1,1
"I need financial help to cover wedding expenses, including the venue and catering.",84155,345,Poor,58535,37.27,1,0
I need money to launch my own tech startup focused on AI solutions.,76955,357,Poor,34023,18.43,0,0
I want to invest in a rental property as a source of passive income.,171023,626,Fair,85060,25.05,1,1
I need money to purchase a food truck and start my own business.,57554,833,Excellent,28103,33.86,0,0
I want to start a mobile pet grooming service and need funds for supplies.,103554,726,Good,20558,30.67,0,0
I need money to open a small bookstore and café.,68202,850,Excellent,16792,52.83,1,0
I need money to purchase a food truck and start my own business.,57840,774,Very Good,37856,15.17,0,0
I want to buy a car for my rideshare business on Uber.,166089,842,Excellent,102821,8.3,1,0
I need a loan to pay for my son's medical treatment and therapy.,44238,848,Excellent,4377,39.52,0,0
I need money to open a small bookstore and café.,196599,340,Poor,50325,4.97,1,0
I need a loan to build a website and market my freelance services.,74759,640,Fair,2004,33.27,1,1
I need a loan to install a security system at home.,50753,790,Very Good,14402,41.18,0,0
I need a loan to finance my MBA and career advancement.,164724,629,Fair,50894,14.3,0,0
I need financial help to install a swimming pool in my backyard.,190058,667,Fair,69566,13.27,0,0
I need money to publish and market my self-written book.,150358,777,Very Good,106226,7.62,0,0
I need funds to launch my handmade jewelry brand online.,73248,679,Good,28127,34.82,1,1
I need a loan to pay off overdue electricity and water bills.,58252,316,Poor,37261,37.92,0,0
I need financial support to renovate my rental apartment.,59953,500,Poor,16074,44.4,0,0
